行号,音频文件,mos_1_to_5,defect,note
1,001.wav,,,
2,002.wav,,,
3,003.wav,,,
4,004.wav,,,
5,005.wav,,,
6,006.wav,,,
7,007.wav,,,
8,008.wav,,,
9,009.wav,,,
10,010.wav,,,
11,011.wav,,,
12,012.wav,,,
13,013.wav,,,
14,014.wav,,,
15,015.wav,,,
16,016.wav,,,
17,017.wav,,,
18,018.wav,,,
19,019.wav,,,
20,020.wav,,,
21,021.wav,,,
22,022.wav,,,
23,023.wav,,,
24,024.wav,,,
25,025.wav,,,
26,026.wav,,,
27,027.wav,,,
28,028.wav,,,
29,029.wav,,,
30,030.wav,,,
31,031.wav,,,
32,032.wav,,,
33,033.wav,,,
34,034.wav,,,
35,035.wav,,,
36,036.wav,,,
37,037.wav,,,
38,038.wav,,,
39,039.wav,,,
40,040.wav,,,
41,041.wav,,,
42,042.wav,,,
43,043.wav,,,
44,044.wav,,,
45,045.wav,,,
46,046.wav,,,
47,047.wav,,,
48,048.wav,,,
49,049.wav,,,
50,050.wav,,,
51,051.wav,,,
52,052.wav,,,
53,053.wav,,,
54,054.wav,,,
55,055.wav,,,
56,056.wav,,,
57,057.wav,,,
58,058.wav,,,
59,059.wav,,,
60,060.wav,,,
61,061.wav,,,
62,062.wav,,,
63,063.wav,,,
64,064.wav,,,
