行号,音频文件,mos_1_to_5,defect,note
1,001.wav,3,,
2,002.wav,4,,
3,003.wav,3,,
4,004.wav,4,,
5,005.wav,3,,
6,006.wav,3,,
7,007.wav,3,,
8,008.wav,3,,
9,009.wav,3,,
10,010.wav,4,,
11,011.wav,4,,
12,012.wav,4,,
13,013.wav,4,,
14,014.wav,3,1,结尾留白过长且有怪音，类似于长舒一口气
15,015.wav,4,,
16,016.wav,4,,
17,017.wav,4,,
18,018.wav,3,1,结尾过于突兀
19,019.wav,3,1,中间有重复，可以是更大的相机重复了两次
20,020.wav,3,,
21,021.wav,3,,
22,022.wav,4,,
23,023.wav,4,,
24,024.wav,3,,
25,025.wav,4,,
26,026.wav,3,1,结尾突兀结束
27,027.wav,3,1,结尾突兀结束
28,028.wav,3,,
29,029.wav,3,,
30,030.wav,3,1,结尾有杂音，类似于麦克风收音
31,031.wav,3,,
32,032.wav,3,1,背景有杂音，类似于工地装修
33,033.wav,3,1,结尾没说完突兀结束
34,034.wav,4,,
35,035.wav,4,,
36,036.wav,3,1,结尾没说完突兀结束
37,037.wav,3,1,开头突兀不怎么能一次性听清楚
38,038.wav,4,,
39,039.wav,4,1,结尾没说完突兀结束
40,040.wav,4,,
41,041.wav,3,,
42,042.wav,4,1,中间有重复，可以是更大的相机重复了两次
43,043.wav,4,,
44,044.wav,4,,
45,045.wav,4,,
46,046.wav,4,,
47,047.wav,4,,
48,048.wav,4,,
49,049.wav,4,1,中间有重复，可以是更大的相机重复了两次
50,050.wav,1,1,完全听不懂，可能是太短了，也可能是语速过快
51,051.wav,3,,
52,052.wav,3,,
53,053.wav,4,,
54,054.wav,4,,
55,055.wav,4,,
56,056.wav,3,,
57,057.wav,3,,
58,058.wav,4,,
59,059.wav,3,1,全程有杂音，像是双重音质
60,060.wav,4,,
61,061.wav,3,1,结尾没说完突兀结束
62,062.wav,4,,
63,063.wav,4,,
64,064.wav,4,,
